,rho,k,T
0,4.0,0.01735462984149419,300.0
1,6.620689655172414,0.017354629841494194,
2,9.241379310344827,0.01735462984149419,
3,11.862068965517242,0.01735462984149419,
4,14.482758620689655,0.01735462984149419,
5,17.103448275862068,0.017354629841494194,
6,19.724137931034484,0.017354629841494194,
7,22.344827586206897,0.01735462984149419,
8,24.96551724137931,0.017354629841494194,
9,27.586206896551722,0.017354629841494194,
10,30.206896551724135,0.01735462984149419,
11,32.827586206896555,0.01735462984149419,
12,35.44827586206897,0.01735462984149419,
13,38.06896551724138,0.017354629841494194,
14,40.689655172413794,0.017354629841494194,
15,43.310344827586206,0.01735462984149419,
16,45.93103448275862,0.017354629841494194,
17,48.55172413793103,0.01735462984149419,
18,51.172413793103445,0.017354629841494194,
19,53.79310344827586,0.01735462984149419,
20,56.41379310344827,0.01735462984149419,
21,59.03448275862069,0.017354629841494197,
22,61.6551724137931,0.017354629841494187,
23,64.27586206896552,0.01735462984149419,
24,66.89655172413794,0.017354629841494194,
25,69.51724137931035,0.017354629841494194,
26,72.13793103448276,0.017354629841494194,
27,74.75862068965517,0.017354629841494194,
28,77.37931034482759,0.01735462984149419,
29,80.0,0.01735462984149419,
