,rho,k,T
0,4.0,0.024949583653841194,300.0
1,6.620689655172414,0.024977673551010653,
2,9.241379310344827,0.02500151410034298,
3,11.862068965517242,0.02502286647736669,
4,14.482758620689655,0.0250425327911553,
5,17.103448275862068,0.02506095852437741,
6,19.724137931034484,0.025078421500580164,
7,22.344827586206897,0.02509510884007991,
8,24.96551724137931,0.025111153706750117,
9,27.586206896551722,0.025126654877726494,
10,30.206896551724135,0.025141688034550132,
11,32.827586206896555,0.025156312691502883,
12,35.44827586206897,0.025170576660008152,
13,38.06896551724138,0.025184519042334697,
14,40.689655172413794,0.02519817230673765,
15,43.310344827586206,0.025211563766738204,
16,45.93103448275862,0.025224716661246906,
17,48.55172413793103,0.025237650959805336,
18,51.172413793103445,0.025250383973924352,
19,53.79310344827586,0.025262930828725473,
20,56.41379310344827,0.025275304832041726,
21,59.03448275862069,0.02528751776698851,
22,61.6551724137931,0.02529958012655784,
23,64.27586206896552,0.02531150130369572,
24,66.89655172413794,0.025323289746777385,
25,69.51724137931035,0.02533495308788572,
26,72.13793103448276,0.02534649824949464,
27,74.75862068965517,0.025357931533843983,
28,77.37931034482759,0.025369258698321538,
29,80.0,0.02538048501944213,
